time,x,y,z,x_rot,y_rot,z_rot
1690993897.690052,2.982464966267039,3.034398121881012,0.34925162551095895,-0.6907298032314232,0.04561624031677276,1.550059212330505
1690993897.6995568,2.9823119250782586,3.0345911975210345,0.34909958266008245,-0.6907320115502319,0.044746022200293716,1.550156479032577
1690993897.7128866,2.982380822422954,3.0348853875394504,0.34937987390256475,-0.6898662230676588,0.04137994875941894,1.5523940154388483
1690993897.7190783,2.98243444559178,3.0344924011087566,0.34961028487782364,-0.6890025268257858,0.041360317648061744,1.5528678564030585
1690993897.7291362,2.982221755856367,3.0348128114611583,0.3494727411006101,-0.689959350072303,0.04211725034648948,1.552357564674511
1690993897.7399108,2.982551079381278,3.034274582122916,0.34962311947761254,-0.6900514683555474,0.045017480134923814,1.550377981693695
1690993897.7488327,2.9821032446373357,3.034757402232746,0.349444552381237,-0.6909265008890001,0.04621514688777947,1.5495334953185198
1690993897.7589633,2.9824669803918447,3.034308773191771,0.34905858639399945,-0.6907518216340014,0.04439499908519572,1.5507805791038611
1690993897.76988,2.9824531680886626,3.034269332868356,0.3488901704563835,-0.6904677101746395,0.04319363957933889,1.5515358420148933
1690993897.7790027,2.982335289680566,3.0347627495278613,0.3492771643737366,-0.6901177165270957,0.04182307131514592,1.5521384242314322
1690993897.7888205,2.9825382946964187,3.0340688094237516,0.34896851383864486,-0.6899767573018284,0.04312661113828302,1.5512336949321002
1690993897.7998676,2.982218205542334,3.0346740650906963,0.34944626226287845,-0.6900614631324501,0.043437365368316876,1.551711867853959
1690993897.8098774,2.9824845562327114,3.0343127933680156,0.34951529110377433,-0.6902294693135412,0.045520519899148196,1.550151522044719
1690993897.819048,2.982137890189071,3.034694151085114,0.34948759071757524,-0.6905472294939842,0.046646987632769484,1.5491742985288
1690993897.8283968,2.9823760855921253,3.034689890529066,0.3493818480969367,-0.6906595145557318,0.044404170023430195,1.5501180652954627
1690993897.8390749,2.9823805938536836,3.0343435260738962,0.3491310845516633,-0.6903089003694078,0.043326671762732666,1.5508106569350695
1690993897.8498929,2.9825003194028006,3.034324109199849,0.3489420328696704,-0.6902670418525536,0.04397750743615533,1.5508681874985852
1690993897.8600354,2.9823295755551116,3.034310855055225,0.3494329707297539,-0.6900352236055276,0.043143849781421426,1.5513644296093756
1690993897.868371,2.9823663104258364,3.034399133204195,0.34889584873124996,-0.6910444413023195,0.04447330069841135,1.5505551315576127
1690993897.8800974,2.982475492322522,3.0344801967986754,0.34934522992427436,-0.690594952060348,0.04470705235218156,1.5501720918815505
1690993897.8883846,2.9821596105429165,3.0347508460910664,0.34927106492670784,-0.6907930645803264,0.045253860345485626,1.5494112478546147
1690993897.8989203,2.982453831392534,3.034638710636018,0.34939556319968507,-0.690406899683602,0.044578540368004356,1.5498798548855883
1690993897.9091163,2.9823816681825597,3.0343622727529085,0.3493495173451738,-0.6900054058424789,0.04448306337784305,1.5500688107311542
1690993897.9188004,2.9823281910277406,3.034809961902275,0.3494631391833645,-0.6907793703596335,0.04306573889949287,1.5512099322311552
1690993897.9280243,2.9822101812880497,3.0342758651005703,0.34942216810544147,-0.6902129472708636,0.044720395033005116,1.5501582838234274
1690993897.9391363,2.9820353188592903,3.0347620576168852,0.349274585424049,-0.6907361199271147,0.044634730752543816,1.5501357437019596
1690993897.9490323,2.9825331600069442,3.0344014428655512,0.34925444824545204,-0.690345369956564,0.044463364695728286,1.5501060506208864
1690993897.959905,2.9822272988602574,3.0347840797817707,0.34918309789763624,-0.6907062841667675,0.04453524884876747,1.549554376011547
1690993897.9680076,2.982480417461918,3.0345085756826715,0.3494216483856989,-0.6902967693152658,0.04438777316877142,1.5498968522252523
