time,Xm,Xo,delta,comp_time
96.064,0.9144760333886744,0.0,0.5,0.0039982795715332
97.664,0.927917994697236,0.0,0.5,0.0050313472747802
99.264,0.9316579554985844,0.0,0.5,0.0039961338043212
100.864,0.9347796275213668,0.0,0.5,0.0029778480529785
102.464,0.941132189534574,0.0,0.5,0.0029985904693603
104.064,0.9546799346709978,0.0,0.5,0.0039758682250976
105.664,0.9607432107025624,0.0,0.5,0.0030016899108886
107.264,0.9703778244173776,0.0,0.5,0.0029935836791992
108.864,0.9737555204543028,0.0,0.5,0.0030059814453125
110.464,0.9730596495399206,0.0,0.5,0.0030014514923095
112.064,0.977692573271998,0.0,0.5,0.0030207633972167
113.664,0.9796389613503824,0.0,0.5,0.0129985809326171
115.264,0.9838671347200614,0.0,0.5,0.0020380020141601
116.864,0.9906256806462754,0.0,0.5,0.0049996376037597
118.464,0.9903456355072806,0.0,0.5,0.0030000209808349
120.064,0.9931808874694714,0.0,0.5,0.004002571105957
121.664,0.9952584634262926,0.0,0.5,0.0029962062835693
123.264,0.9979310783361446,0.0,0.5,0.002997875213623
124.864,0.9963129935894232,0.0,0.5,0.0030078887939453
126.464,0.9973059957006932,0.0,0.5,0.0030279159545898
128.064,0.9963739470269964,0.0,0.5,0.0049967765808105
129.66400000000002,0.9979954474403384,0.0,0.5,0.0030045509338378
131.264,0.996689044778206,0.0,0.5,0.0020229816436767
132.864,0.9954011074891878,0.0,0.5,0.0040259361267089
134.464,0.9971888328364308,0.0,0.5,0.0040254592895507
136.064,0.9980521752063338,0.0,0.5,0.004000186920166
137.66400000000002,0.9970572130312974,0.0,0.5,0.0020089149475097
139.264,0.9958795829747922,0.0,0.5,0.0039973258972167
0.064,0.9842721050184896,1.0,0.5,0.0029983520507812
1.664,0.979386891482481,1.0,0.5,0.0069983005523681
3.264,0.9801347786103268,1.0,0.5,0.0020067691802978
4.864,0.9794644339223058,1.0,0.5,0.0109837055206298
6.464,0.3173105078629141,1.0,0.5,56.56407117843628
8.064,0.7493461898688476,1.0,0.5,0.0040228366851806
9.664,0.8997907966686207,1.0,0.5,0.0070350170135498
11.264,0.9929018657790144,1.0,0.5,0.0020382404327392
12.864,0.3173105078629141,1.0,0.5,50.873440980911255
14.464,0.7575285912016361,1.0,0.5,0.0029993057250976
16.064,0.7686082873202389,1.0,0.5,0.0029985904693603
17.664,0.3173105078629141,1.0,0.5,48.44518160820007
19.264,0.734162757488821,1.0,0.5,0.0020115375518798
20.864,0.784583552921522,1.0,0.5,0.003000259399414
22.464,0.7348353085767272,1.0,0.5,0.0070357322692871
24.064,0.7492328917789524,1.0,0.5,0.0020222663879394
25.664,0.7812457445721641,1.0,0.5,0.0030231475830078
27.264,0.3173105078629141,1.0,0.5,41.71668195724487
28.864,0.7370440937059386,1.0,0.5,0.0030257701873779
30.464,0.3173105078629141,1.0,0.5,39.7352728843689
32.064,0.3173105078629141,1.0,0.5,68.01530814170837
33.664,0.735450204277426,0.874053287886007,0.5,0.0020089149475097
35.264,0.7573085185064861,0.874053287886007,0.5,0.0110499858856201
36.864,0.946302797066866,0.874053287886007,0.5,0.0089991092681884
38.464,0.9300586176653354,0.874053287886007,0.5,0.0020046234130859
40.064,0.953686232585937,0.874053287886007,0.5,0.0059950351715087
41.664,0.979947535596252,0.874053287886007,0.5,0.0050287246704101
43.264,0.98523524402049,0.874053287886007,0.5,0.0080375671386718
44.864,0.9971965077946724,0.874053287886007,0.5,0.0019929409027099
46.464,0.9928662900572968,0.874053287886007,0.5,0.0040228366851806
48.064,0.956325062261422,0.874053287886007,0.5,0.0030088424682617
49.664,0.957446785677316,0.874053287886007,0.5,0.0120136737823486
51.264,0.9954223831523832,0.874053287886007,0.5,0.0029962062835693
